sample_size,subsystem,capacity_kw,mean_load_kw,p95_load_kw,p99_load_kw,p99_load_to_capacity_ratio,overload_count,overload_probability,overload_probability_pct,overload_probability_ci95_lower_pct,overload_probability_ci95_upper_pct,rule_of_three_upper_if_zero,previous_overload_probability_pct,previous_p99_load_to_capacity_ratio,change_from_previous_probability_pct_points,change_from_previous_p99_ratio
4799,FW,4871.78,4637.8765,4913.8310546875,5001.945917968749,1.0267183489338085,428,0.08918524692644302,8.9185246926443,8.112140075923662,9.724909309364941,,8.78780662062396,1.0259402167784413,0.13071807202034158,0.0007781321553672615
5000,FW,4871.78,4637.4683,4913.820556640625,5001.9375585937505,1.0267166330568602,443,0.0886,8.86,8.072333378053887,9.647666621946112,,8.9185246926443,1.0267183489338085,-0.05852469264430127,-1.7158769483049952e-06
5484,FW,4871.78,4636.8896,4911.44677734375,5000.8360595703125,1.026490535198698,474,0.08643326039387308,8.643326039387308,7.899591525427561,9.387060553347055,,8.86,1.0267166330568602,-0.21667396061269173,-0.00022609785816229966
6268,FW,4871.78,4636.6836,4911.935864257813,4999.550576171875,1.0262266720114364,543,0.08663050414805361,8.66305041480536,7.966664064610947,9.359436764999774,,8.643326039387308,1.026490535198698,0.019724375418052276,-0.00026386318726157043
7163,FW,4871.78,4636.9727,4912.501416015625,4999.055947265625,1.0261251426102216,625,0.0872539438782633,8.725394387826329,8.071848462325553,9.378940313327105,,8.66305041480536,1.0262266720114364,0.062343973020968946,-0.00010152940121477272
8185,FW,4871.78,4637.9443,4916.641015625,5000.38939453125,1.026398851042381,725,0.0885766646304215,8.85766646304215,8.24211203079694,9.47322089528736,,8.725394387826329,1.0261251426102216,0.13227207521582152,0.0002737084321593475
9354,FW,4871.78,4638.711,4916.9661865234375,5002.322089843749,1.0267955633964896,844,0.09022877913192218,9.022877913192218,8.442252518774977,9.603503307609458,,8.85766646304215,1.026398851042381,0.16521145015006766,0.0003967123541086526
10000,FW,4871.78,4638.4326,4916.560083007813,5000.6348828125,1.0264492408960382,907,0.0907,9.07,8.507123249710915,9.632876750289086,,9.022877913192218,1.0267955633964896,0.04712208680778218,-0.00034632250045141255
10690,FW,4871.78,4638.011,4918.584521484375,5001.867055664063,1.026702161358695,980,0.09167446211412535,9.167446211412535,8.620414924176131,9.714477498648938,,9.07,1.0264492408960382,0.09744621141253518,0.0002529204626569026
12217,FW,4871.78,4638.1943,4918.1033203125,5002.63138671875,1.0268590508435829,1111,0.09093885569288696,9.093885569288695,8.58403245714617,9.60373868143122,,9.167446211412535,1.026702161358695,-0.07356064212384084,0.00015688948488778998
13961,FW,4871.78,4638.7266,4918.310546875,5003.8251953125,1.027104096513492,1266,0.09068118329632548,9.068118329632547,8.591781144228666,9.544455515036429,,9.093885569288695,1.0268590508435829,-0.025767239656147467,0.0002450456699092385
15955,FW,4871.78,4638.913,4918.609716796875,5002.830673828125,1.0268999572698532,1461,0.09157004073958007,9.157004073958007,8.709465890224264,9.604542257691751,,9.068118329632547,1.027104096513492,0.08888574432545937,-0.00020413924363893443
18233,FW,4871.78,4638.3364,4919.45859375,5003.111328125,1.026957565432963,1671,0.0916470136565568,9.164701365655679,8.745894793270176,9.583507938041182,,9.157004073958007,1.0268999572698532,0.007697291697672526,5.7608163109845734e-05
20837,FW,4871.78,4637.6973,4918.37666015625,5003.095703125,1.0269543581863303,1885,0.09046407832221529,9.04640783222153,8.65692664523768,9.435889019205376,,9.164701365655679,1.026957565432963,-0.11829353343414972,-3.2072466327193183e-06
23813,FW,4871.78,4637.7437,4918.54833984375,5001.831015625,1.026694763643884,2165,0.09091672615798094,9.091672615798094,8.726521406406802,9.456823825189385,,9.04640783222153,1.0269543581863303,0.04526478357656494,-0.00025959454244639524
25000,FW,4871.78,4637.6934,4918.767895507813,5001.846323242187,1.0266979057433192,2286,0.09144,9.144,8.786701673478175,9.501298326521823,,9.091672615798094,1.026694763643884,0.05232738420190586,3.142099435304857e-06
27213,FW,4871.78,4637.41,4919.866601562499,5002.76771484375,1.0268870340704526,2487,0.09139014441627163,9.139014441627163,8.796636115817932,9.481392767436395,,9.144,1.0266979057433192,-0.004985558372837318,0.0001891283271333588
31100,FW,4871.78,4636.9683,4918.137524414063,5001.92939453125,1.0267149572704946,2805,0.09019292604501608,9.019292604501608,8.700919208652687,9.337666000350529,,9.139014441627163,1.0268870340704526,-0.11972183712555484,-0.00017207679995800973
35541,FW,4871.78,4636.71,4918.7421875,5001.94091796875,1.0267173226148862,3241,0.09119045609296306,9.119045609296306,8.819748595817769,9.418342622774842,,9.019292604501608,1.0267149572704946,0.09975300479469773,2.3653443916860084e-06
40616,FW,4871.78,4636.521,4919.399169921875,5002.457934570312,1.0268234473991666,3715,0.09146641717549735,9.146641717549734,8.866286384052122,9.426997051047348,,9.119045609296306,1.0267173226148862,0.027596108253428397,0.00010612478428040362
46416,FW,4871.78,4636.6895,4919.7110595703125,5001.94580078125,1.026718324879459,4247,0.09149862116511548,9.149862116511548,8.887565743199936,9.412158489823161,,9.146641717549734,1.0268234473991666,0.0032203989618135864,-0.00010512251970773434
50000,FW,4871.78,4636.6997,4919.857153320312,5001.527529296875,1.0266324688916322,4581,0.09162,9.161999999999999,8.90912843594229,9.414871564057709,,9.149862116511548,1.026718324879459,0.012137883488451351,-8.585598782673287e-05
