scenario,margin_case,distribution_model,dependency_model,rho,subsystem,p99_load_to_capacity_ratio,p99_spare_capacity_kw,overload_probability_pct
Scenario Alpha,Case B - CMM + CUM,Triangular,Subsystem-block Gaussian copula,0.5,CW,0.9691734654256476,125.40419224053994,0.0
Scenario Bravo,Case B - CMM + CUM,Triangular,Subsystem-block Gaussian copula,0.75,FW,0.9688198301694272,151.90292777718878,0.0
Scenario Alpha,Case B - CMM + CUM,Triangular,Global Gaussian copula,0.25,CW,0.9684059640990408,128.52643368725603,0.0
Scenario Bravo,Case B - CMM + CUM,Triangular,Global Gaussian copula,0.5,CW,0.968302581575842,44.12534223990201,0.0
Scenario Alpha,Case B - CMM + CUM,Truncated normal,Global Gaussian copula,0.5,FW,0.967695009631328,379.0880782796412,0.0
Scenario Bravo,Case B - CMM + CUM,Truncated normal,Subsystem-block Gaussian copula,0.5,FW,0.9670526550529742,160.51221616602106,0.0
Scenario Bravo,Case B - CMM + CUM,Truncated normal,Subsystem-block Gaussian copula,0.75,CW,0.9667085929739038,46.3443018928881,0.0
Scenario Bravo,Case B - CMM + CUM,Truncated normal,Global Gaussian copula,0.25,FW,0.9665182125205186,163.11590260678804,0.0
Scenario Alpha,Case B - CMM + CUM,Triangular,Global Gaussian copula,0.5,FW,0.9665132275996016,392.9558886160594,0.0
Scenario Alpha,Case B - CMM + CUM,Truncated normal,Subsystem-block Gaussian copula,0.75,FW,0.96627698010425,395.7281726498604,0.0
Scenario Bravo,Case B - CMM + CUM,Triangular,Subsystem-block Gaussian copula,0.5,FW,0.965965182169066,165.810144812388,0.0
Scenario Alpha,Case C - CMM + CUM + DBM + IGM,Truncated normal,Global Gaussian copula,0.5,HVAC,0.9657135439322492,39.752402894071565,0.0
Scenario Bravo,Case B - CMM + CUM,Triangular,Global Gaussian copula,0.25,FW,0.965393555661248,168.5949834006451,0.0
Scenario Alpha,Case C - CMM + CUM + DBM + IGM,Truncated normal,Subsystem-block Gaussian copula,0.5,HVAC,0.9653471390238256,40.17722007299608,0.0
Scenario Alpha,Case B - CMM + CUM,Triangular,Subsystem-block Gaussian copula,0.75,FW,0.9653097267050684,407.0785624231012,0.0
Scenario Alpha,Case B - CMM + CUM,Truncated normal,Subsystem-block Gaussian copula,0.5,FW,0.9640673179211572,421.65780708331295,0.0
Scenario Alpha,Case B - CMM + CUM,Truncated normal,Global Gaussian copula,0.25,FW,0.9635594900207968,427.6169948325551,0.0
Scenario Bravo,Case B - CMM + CUM,Truncated normal,Subsystem-block Gaussian copula,0.25,FW,0.9632454211637528,179.0602220828523,0.0
Scenario Alpha,Case B - CMM + CUM,Triangular,Subsystem-block Gaussian copula,0.5,FW,0.9629942331556024,434.2500919582799,0.0
Scenario Alpha,Case B - CMM + CUM,Truncated normal,Subsystem-block Gaussian copula,0.25,CW,0.9628751697211236,151.0260370642859,0.0
Scenario Bravo,Case B - CMM + CUM,Triangular,Subsystem-block Gaussian copula,0.75,CW,0.962730841080018,51.8816507493284,0.0
Scenario Alpha,Case B - CMM + CUM,Triangular,Global Gaussian copula,0.25,FW,0.962728163116358,437.3723334049973,0.0
Scenario Bravo,Case B - CMM + CUM,Triangular,Subsystem-block Gaussian copula,0.25,FW,0.9621222579666456,184.532026083255,0.0
Scenario Alpha,Case B - CMM + CUM,Triangular,Subsystem-block Gaussian copula,0.25,CW,0.9608561120256796,159.23968491281357,0.0
Scenario Alpha,Case B - CMM + CUM,Truncated normal,Subsystem-block Gaussian copula,0.25,FW,0.9608108000758414,459.8719367820268,0.0
Scenario Bravo,Case C - CMM + CUM + DBM + IGM,Truncated normal,Subsystem-block Gaussian copula,0.25,CW,0.9602667825475376,55.31181735122391,0.001
Scenario Alpha,Case B - CMM + CUM,Triangular,Subsystem-block Gaussian copula,0.25,FW,0.9601108524123788,468.0855846305549,0.0
Scenario Bravo,Case A - CUM,Truncated normal,Global Gaussian copula,0.75,FW,0.960068157613602,194.5391511012067,0.0
Scenario Alpha,Case C - CMM + CUM + DBM + IGM,Triangular,Global Gaussian copula,0.5,HVAC,0.959537219444232,46.91335703196864,0.0
Scenario Alpha,Case C - CMM + CUM + DBM + IGM,Triangular,Subsystem-block Gaussian copula,0.5,HVAC,0.9594741461600944,46.98648545906349,0.0
Scenario Bravo,Case A - CUM,Triangular,Global Gaussian copula,0.75,FW,0.9594300274763792,197.64798074112605,0.0
Scenario Bravo,Case C - CMM + CUM + DBM + IGM,Triangular,Subsystem-block Gaussian copula,0.75,HVAC,0.959021313112152,15.282181701085165,0.0
Scenario Bravo,Case A - CUM,Truncated normal,Global Gaussian copula,0.5,FW,0.9587942709941484,200.74524645612743,0.0
Scenario Bravo,Case C - CMM + CUM + DBM + IGM,Triangular,Global Gaussian copula,0.75,HVAC,0.9586433395201356,15.423139392755786,0.0
