record_id,source_row,pbs_code,teamcenter_id,bom_id,item_description,system,scenario,margin_case,nominal_load_kw,uncertainty_pct,triangular_lower_kw,triangular_mode_kw,triangular_upper_kw,truncnorm_lower_kw,truncnorm_mean_kw,truncnorm_upper_kw,truncnorm_sigma_kw,is_degenerate
10,9,PBS_GROUP_0001,,BOM_000010,ITEM_000010,CW,Scenario Alpha,Case B - CMM + CUM,3.718,0.25,2.7885,3.718,4.6475,2.7885,3.718,4.6475,0.474234693877551,False
10,9,PBS_GROUP_0001,,BOM_000010,ITEM_000010,CW,Scenario Alpha,Case C - CMM + CUM + DBM + IGM,3.718,0.35,2.4167,3.718,5.0193,2.4167,3.718,5.0193,0.6639285714285714,False
10,9,PBS_GROUP_0001,,BOM_000010,ITEM_000010,CW,Scenario Bravo,Case A - CUM,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
10,9,PBS_GROUP_0001,,BOM_000010,ITEM_000010,CW,Scenario Bravo,Case B - CMM + CUM,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
10,9,PBS_GROUP_0001,,BOM_000010,ITEM_000010,CW,Scenario Bravo,Case C - CMM + CUM + DBM + IGM,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
11,10,PBS_GROUP_0001,,BOM_000011,ITEM_000011,CW,Scenario Alpha,Case A - CUM,1.764,0.15,1.4994,1.764,2.0286,1.4994,1.764,2.0286,0.135,False
11,10,PBS_GROUP_0001,,BOM_000011,ITEM_000011,CW,Scenario Alpha,Case B - CMM + CUM,1.764,0.25,1.323,1.764,2.205,1.323,1.764,2.205,0.225,False
11,10,PBS_GROUP_0001,,BOM_000011,ITEM_000011,CW,Scenario Alpha,Case C - CMM + CUM + DBM + IGM,1.764,0.35,1.1466,1.764,2.3814,1.1466,1.764,2.3814,0.315,False
11,10,PBS_GROUP_0001,,BOM_000011,ITEM_000011,CW,Scenario Bravo,Case A - CUM,0.026989199999999998,0.15,0.022940819999999997,0.026989199999999998,0.031037579999999995,0.022940819999999997,0.026989199999999998,0.031037579999999995,0.0020655,False
11,10,PBS_GROUP_0001,,BOM_000011,ITEM_000011,CW,Scenario Bravo,Case B - CMM + CUM,0.026989199999999998,0.25,0.0202419,0.026989199999999998,0.033736499999999996,0.0202419,0.026989199999999998,0.033736499999999996,0.0034425,False
11,10,PBS_GROUP_0001,,BOM_000011,ITEM_000011,CW,Scenario Bravo,Case C - CMM + CUM + DBM + IGM,0.026989199999999998,0.35,0.01754298,0.026989199999999998,0.036435419999999996,0.01754298,0.026989199999999998,0.036435419999999996,0.004819499999999999,False
12,11,PBS_GROUP_0001,,BOM_000012,ITEM_000012,CW,Scenario Alpha,Case A - CUM,1.882,0.15,1.5997,1.882,2.1643,1.5997,1.882,2.1643,0.14403061224489797,False
12,11,PBS_GROUP_0001,,BOM_000012,ITEM_000012,CW,Scenario Alpha,Case B - CMM + CUM,1.882,0.25,1.4115,1.882,2.3525,1.4115,1.882,2.3525,0.24005102040816326,False
12,11,PBS_GROUP_0001,,BOM_000012,ITEM_000012,CW,Scenario Alpha,Case C - CMM + CUM + DBM + IGM,1.882,0.35,1.2233,1.882,2.5407,1.2233,1.882,2.5407,0.3360714285714286,False
12,11,PBS_GROUP_0001,,BOM_000012,ITEM_000012,CW,Scenario Bravo,Case A - CUM,1.4626903999999998,0.15,1.24328684,1.4626903999999998,1.6820939599999998,1.24328684,1.4626903999999998,1.6820939599999998,0.11194059183673467,False
12,11,PBS_GROUP_0001,,BOM_000012,ITEM_000012,CW,Scenario Bravo,Case B - CMM + CUM,1.4626903999999998,0.25,1.0970178,1.4626903999999998,1.8283629999999997,1.0970178,1.4626903999999998,1.8283629999999997,0.18656765306122447,False
12,11,PBS_GROUP_0001,,BOM_000012,ITEM_000012,CW,Scenario Bravo,Case C - CMM + CUM + DBM + IGM,1.4626903999999998,0.35,0.95074876,1.4626903999999998,1.97463204,0.95074876,1.4626903999999998,1.97463204,0.2611947142857142,False
13,12,PBS_GROUP_0001,,BOM_000013,ITEM_000013,CW,Scenario Alpha,Case A - CUM,3.541,0.15,3.0098499999999997,3.541,4.07215,3.0098499999999997,3.541,4.07215,0.2709948979591837,False
13,12,PBS_GROUP_0001,,BOM_000013,ITEM_000013,CW,Scenario Alpha,Case B - CMM + CUM,3.541,0.25,2.65575,3.541,4.42625,2.65575,3.541,4.42625,0.4516581632653061,False
13,12,PBS_GROUP_0001,,BOM_000013,ITEM_000013,CW,Scenario Alpha,Case C - CMM + CUM + DBM + IGM,3.541,0.35,2.30165,3.541,4.78035,2.30165,3.541,4.78035,0.6323214285714286,False
