scenario,margin_case,distribution_model,subsystem,sampled_load_kw
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.0460291987365
Scenario Alpha,Case A - CUM,Triangular,HVAC,1028.187250984358
Scenario Alpha,Case A - CUM,Triangular,HVAC,1024.4218064751487
Scenario Alpha,Case A - CUM,Triangular,HVAC,1027.5917206442698
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.3210590547963
Scenario Alpha,Case A - CUM,Triangular,HVAC,1024.897582452658
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.140473101748
Scenario Alpha,Case A - CUM,Triangular,HVAC,1027.5702148068444
Scenario Alpha,Case A - CUM,Triangular,HVAC,1024.081767394584
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.9519801142033
Scenario Alpha,Case A - CUM,Triangular,HVAC,1025.279988724505
Scenario Alpha,Case A - CUM,Triangular,HVAC,1025.7661342916192
Scenario Alpha,Case A - CUM,Triangular,HVAC,1027.5223943243514
Scenario Alpha,Case A - CUM,Triangular,HVAC,1025.447900293984
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.862787279926
Scenario Alpha,Case A - CUM,Triangular,HVAC,1027.6449368890426
Scenario Alpha,Case A - CUM,Triangular,HVAC,1027.5860552908093
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.181246386986
Scenario Alpha,Case A - CUM,Triangular,HVAC,1029.0662733663983
Scenario Alpha,Case A - CUM,Triangular,HVAC,1027.141898672721
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.4213044467042
Scenario Alpha,Case A - CUM,Triangular,HVAC,1025.3766940437301
Scenario Alpha,Case A - CUM,Triangular,HVAC,1028.1814950023258
Scenario Alpha,Case A - CUM,Triangular,HVAC,1027.5367583488444
Scenario Alpha,Case A - CUM,Triangular,HVAC,1028.1719701293007
Scenario Alpha,Case A - CUM,Triangular,HVAC,1024.8879398078604
Scenario Alpha,Case A - CUM,Triangular,HVAC,1025.5517666808018
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.0028936463013
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.5368965576286
Scenario Alpha,Case A - CUM,Triangular,HVAC,1027.224193110601
Scenario Alpha,Case A - CUM,Triangular,HVAC,1027.8767666609547
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.8840239714048
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.2679283686402
Scenario Alpha,Case A - CUM,Triangular,HVAC,1028.3412016658795
Scenario Alpha,Case A - CUM,Triangular,HVAC,1028.3745139609448
Scenario Alpha,Case A - CUM,Triangular,HVAC,1027.0868076994925
Scenario Alpha,Case A - CUM,Triangular,HVAC,1027.7458914130239
Scenario Alpha,Case A - CUM,Triangular,HVAC,1025.8633576558311
Scenario Alpha,Case A - CUM,Triangular,HVAC,1027.0794307160722
Scenario Alpha,Case A - CUM,Triangular,HVAC,1029.1601440842346
Scenario Alpha,Case A - CUM,Triangular,HVAC,1028.0013947303464
Scenario Alpha,Case A - CUM,Triangular,HVAC,1027.0727322524174
Scenario Alpha,Case A - CUM,Triangular,HVAC,1024.333091661458
Scenario Alpha,Case A - CUM,Triangular,HVAC,1028.9895841768298
Scenario Alpha,Case A - CUM,Triangular,HVAC,1025.8768185619572
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.1124708057214
Scenario Alpha,Case A - CUM,Triangular,HVAC,1023.8469878392367
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.6248143852317
Scenario Alpha,Case A - CUM,Triangular,HVAC,1027.2641489648931
Scenario Alpha,Case A - CUM,Triangular,HVAC,1024.7991685678103
