scenario,margin_case,distribution_model,subsystem,simulations,deterministic_load_kw,capacity_kw,mean_load_kw,std_load_kw,p01_load_kw,p05_load_kw,p50_load_kw,p95_load_kw,p99_load_kw,min_load_kw,max_load_kw,mean_spare_capacity_kw,p95_spare_capacity_kw,p99_spare_capacity_kw,overload_count,overload_probability,overload_probability_pct,overload_probability_ci95_lower,overload_probability_ci95_upper,rule_of_three_upper_if_zero,mean_load_to_capacity_ratio,p95_load_to_capacity_ratio,p99_load_to_capacity_ratio,max_load_to_capacity_ratio,p95_capacity_margin_pct,p99_capacity_margin_pct
Scenario Bravo,Case A - CUM,Triangular,FW,100000,4636.317392640301,4871.78,4636.324528969344,3.313456169896394,4628.668080036954,4630.874937646571,4636.319571017761,4641.804048006037,4643.9988490472215,4621.910360051673,4650.070814484459,235.45547103065564,229.97595199396247,227.78115095277823,0,0.0,0.0,0,0.0,3e-05,0.9516695189375022,0.9527942657521558,0.9532447789200706,0.9544911335250073,4.720573424784421,4.675522107992935
Scenario Bravo,Case A - CUM,Truncated normal,HVAC,100000,307.292471684,372.93,307.29991905484906,1.3840732988929485,304.25118350995325,305.0242408967061,307.2964242650985,309.58051744075465,310.3486714696548,302.190969149314,312.05684389367605,65.63008094515095,63.34948255924536,62.58132853034522,0,0.0,0.0,0,0.0,3e-05,0.8240150136884913,0.830130366129715,0.832190146863097,0.8367705571921702,16.986963387028492,16.780985313690294
Scenario Bravo,Case A - CUM,Truncated normal,CW,100000,1256.6386696681602,1392.08,1256.6451650190718,3.607895430484104,1248.3162296690143,1250.697745017654,1256.6465796125713,1262.6014600353487,1264.98356523156,1242.037261864989,1270.713263294023,135.43483498092814,129.4785399646512,127.09643476844008,0,0.0,0.0,0,0.0,3e-05,0.9027104512808688,0.9069891529476386,0.908700337072266,0.9128162629259978,9.301084705236136,9.12996629277341
Scenario Bravo,Case A - CUM,Truncated normal,FW,100000,4636.317392640301,4871.78,4636.323887991211,3.607895430484104,4627.994952641154,4630.376467989793,4636.325302584711,4642.280183007489,4644.662288203699,4621.715984837128,4650.391986266162,235.4561120087883,229.49981699251111,227.11771179630068,0,0.0,0.0,0,0.0,3e-05,0.9516693873679049,0.9528919990244816,0.9533809589521077,0.9545570584603907,4.710800097551842,4.661904104789229
Scenario Bravo,Case B - CMM + CUM,Triangular,HVAC,100000,307.292471684,372.93,307.2998914947419,3.086066974355942,300.2364655989323,302.19388337769493,307.3059040365547,312.36475367897947,314.365386825648,295.8713111625991,318.6990875611588,65.63010850525808,60.56524632102054,58.56461317435202,0,0.0,0.0,0,0.0,3e-05,0.8240149397869356,0.8375962075429154,0.8429608420498431,0.8545815235061776,16.240379245708453,15.703915795015691
Scenario Bravo,Case B - CMM + CUM,Triangular,CW,100000,1256.6386696681602,1392.08,1256.6430661120933,8.534514549575455,1236.9401662364364,1242.5875923820963,1256.6258366255297,1270.7052253332286,1276.5298960943774,1221.2468770319228,1293.798855473397,135.43693388790666,121.37477466677136,115.55010390562256,0,0.0,0.0,0,0.0,3e-05,0.902708943532048,0.9128104888607182,0.9169946383069776,0.929399786990257,8.718951113928176,8.300536169302235
Scenario Bravo,Case B - CMM + CUM,Triangular,FW,100000,4636.317392640301,4871.78,4636.3217890842325,8.534514549575455,4616.618889208576,4622.266315354235,4636.304559597669,4650.383948305368,4656.208619066517,4600.925600004062,4673.477578445536,235.45821091576727,221.39605169463167,215.5713809334829,0,0.0,0.0,0,0.0,3e-05,0.9516689565383151,0.9545554085581386,0.955751002521977,0.959295694478309,4.544459144186143,4.424899747802301
Scenario Bravo,Case B - CMM + CUM,Truncated normal,HVAC,100000,307.292471684,372.93,307.2891391069238,3.36583503336503,299.6161462724385,301.72547898884585,307.29912164074017,312.8420496796719,314.91865198970714,294.20812044276465,319.6009679800224,65.6408608930762,60.087950320328105,58.01134801029286,0,0.0,0.0,0,0.0,3e-05,0.8239861075990771,0.8388760616728927,0.8444444050886417,0.8569998873247591,16.112393832710726,15.555559491135835
Scenario Bravo,Case B - CMM + CUM,Truncated normal,CW,100000,1256.6386696681602,1392.08,1256.6201428608972,9.24966576767656,1235.1880392347828,1241.3626144721543,1256.5727173364148,1271.8797765570953,1278.0130833266858,1219.4605661098426,1291.6033916644417,135.45985713910272,120.20022344290464,114.06691667331415,0,0.0,0.0,0,0.0,3e-05,0.9026924766255512,0.9136542271687657,0.918060085143588,0.9278226766166038,8.63457728312343,8.19399148564121
Scenario Bravo,Case B - CMM + CUM,Truncated normal,FW,100000,4636.317392640301,4871.78,4636.298865833037,9.24966576767656,4614.866762206922,4621.041337444293,4636.251440308554,4651.558499529235,4657.691806298826,4599.139289081983,4671.28211463658,235.48113416696287,220.22150047076505,214.0881937011736,0,0.0,0.0,0,0.0,3e-05,0.9516642512250219,0.9547965013874261,0.9560554471463872,0.9588450452681732,4.520349861257386,4.394455285361277
Scenario Bravo,Case C - CMM + CUM + DBM + IGM,Triangular,HVAC,100000,307.292471684,372.93,307.3035613399237,4.354772777986009,297.3471738938208,300.1125802979986,307.3025403795691,314.4439556542841,317.24180871644427,289.99815768063087,324.2949903008728,65.6264386600763,58.486044345715925,55.68819128355574,0,0.0,0.0,0,0.0,3e-05,0.824024780360721,0.8431715218788622,0.8506738763747734,0.8695867597159597,15.682847812113781,14.932612362522654
Scenario Bravo,Case C - CMM + CUM + DBM + IGM,Triangular,CW,100000,1256.6386696681602,1392.08,1256.6380650027422,12.481275772356046,1228.0804793268333,1236.1527269765809,1256.6326693845308,1277.22384104055,1285.3751904247438,1207.1969932769891,1313.0742404556688,135.4419349972577,114.85615895944989,106.70480957525616,0,0.0,0.0,0,0.0,3e-05,0.9027053509875455,0.9174931333260661,0.9233486512447157,0.9432462505428344,8.250686667393389,7.66513487552843
Scenario Bravo,Case C - CMM + CUM + DBM + IGM,Triangular,FW,100000,4636.317392640301,4871.78,4636.398285390376,54.61666453859928,4515.424291606303,4545.69495895149,4636.588578176446,4726.3687415442255,4757.086339231607,4454.265155417723,4820.099083989045,235.3817146096235,145.41125845577426,114.69366076839287,0,0.0,0.0,0,0.0,3e-05,0.9516846584596136,0.9701523347819946,0.9764575451337308,0.98939177959371,2.9847665218005384,2.354245486626918
Scenario Bravo,Case C - CMM + CUM + DBM + IGM,Truncated normal,HVAC,100000,307.292471684,372.93,307.2995622873233,4.73377426256988,296.48854464231675,299.462927766172,307.3134493949632,315.0960856999304,318.05348118276794,289.0977265571938,324.6277172814622,65.63043771267672,57.83391430006964,54.87651881723207,0,0.0,0.0,0,0.0,3e-05,0.8240140570276547,0.8449201879707463,0.852850350421709,0.8704789565909479,15.507981202925384,14.714964957829102
Scenario Bravo,Case C - CMM + CUM + DBM + IGM,Truncated normal,CW,100000,1256.6386696681602,1392.08,1256.6842350957347,13.558001214071016,1225.4446611729732,1234.3580329138615,1256.6755706815609,1279.0386015066074,1288.130290024389,1199.5055834770972,1321.3606000217317,135.3957649042652,113.04139849339252,103.94970997561086,0,0.0,0.0,0,0.0,3e-05,0.9027385172516915,0.9187967656360321,0.9253277757200657,0.949198752960844,8.120323436396797,7.467222427993425
Scenario Bravo,Case C - CMM + CUM + DBM + IGM,Truncated normal,FW,100000,4636.317392640301,4871.78,4636.088713075473,59.43323488614339,4505.012935556577,4538.185674455107,4635.887614838237,4734.001511048214,4767.6003359241895,4435.277539220501,4841.42947824752,235.69128692452705,137.77848895178613,104.17966407581024,0,0.0,0.0,0,0.0,3e-05,0.9516211144746833,0.9717190659365189,0.9786156878849599,0.9937701370438566,2.828093406348114,2.1384312115040136
