scenario,margin_case,distribution_model,dependency_model,rho,subsystem,simulations,deterministic_load_kw,capacity_kw,mean_load_kw,std_load_kw,p95_load_kw,p99_load_kw,max_load_kw,p95_spare_capacity_kw,p99_spare_capacity_kw,p95_load_to_capacity_ratio,p99_load_to_capacity_ratio,max_load_to_capacity_ratio,p95_capacity_margin_pct,p99_capacity_margin_pct,overload_count,overload_probability,overload_probability_pct,overload_probability_ci95_lower,overload_probability_ci95_upper,rule_of_three_upper_if_zero,independent_p99_load_to_capacity_ratio,independent_p99_spare_capacity_kw,independent_p99_load_kw,independent_overload_probability_pct,delta_p99_load_to_capacity_ratio,delta_p99_spare_capacity_kw,delta_p99_load_kw,delta_overload_probability_pct
Scenario Alpha,Case B - CMM + CUM,Triangular,Global Gaussian copula,0.5,CW,100000,3814.61147772621,4068.06,3814.3503508686404,76.55291567947985,3941.040424163983,3983.9500111016832,4053.9107150770883,127.01957583601688,84.10998889831671,0.9687763760032997,0.9793242998140842,0.9965218593327257,3.1223623996700365,2.0675700185915824,0,0.0,0.0,0.0,0.0,3e-05,0.9451982829716772,222.93667297423823,3845.1233270257617,0.0,0.034126016842407014,-138.82668407592152,138.82668407592155,0.0
Scenario Alpha,Case B - CMM + CUM,Triangular,Global Gaussian copula,0.5,FW,100000,11172.36557800847,11734.66,11172.1044511509,76.55291567947985,11298.794524446243,11341.70411138394,11411.664815359347,435.8654755537573,392.9558886160594,0.9628565739822238,0.9665132275996016,0.9724751134979068,3.714342601777617,3.3486772400398426,0,0.0,0.0,0.0,0.0,3e-05,0.9546827455851316,531.7825726919782,11202.877427308022,0.0,0.011830482014470012,-138.82668407591882,138.82668407591882,0.0
Scenario Alpha,Case B - CMM + CUM,Triangular,Global Gaussian copula,0.5,HVAC,100000,1026.73344657341,1159.42,1026.669359275193,26.962072091540733,1071.200873898644,1086.3132171741988,1111.2768733070754,88.2191261013561,73.10678282580125,0.9239109847153265,0.9369453840490924,0.9584765428464882,7.608901528467345,6.3054615950907555,0,0.0,0.0,0.0,0.0,3e-05,0.8954898581065659,121.17114871408536,1038.2488512859147,0.0,0.04145552594252655,-48.064365888284115,48.0643658882841,0.0
Scenario Alpha,Case B - CMM + CUM,Triangular,Global Gaussian copula,0.75,CW,100000,3814.61147772621,4068.06,3814.7495039510886,93.38445074907992,3969.609993413395,4017.193051216835,4073.6586311889723,98.45000658660501,50.866948783164844,0.9757992737111535,0.9874960180569694,1.0013762410556808,2.420072628884653,1.2503981943030547,10,0.0001,0.01,3.802245697028641e-05,0.0001619775430297136,,0.9451982829716772,222.93667297423823,3845.1233270257617,0.0,0.04229773508529222,-172.0697241910734,172.06972419107342,0.01
Scenario Alpha,Case B - CMM + CUM,Triangular,Global Gaussian copula,0.75,FW,100000,11172.36557800847,11734.66,11172.503604233347,93.38445074907992,11327.364093695653,11374.947151499095,11431.412731471231,407.2959063043472,359.71284850090524,0.9652912051730219,0.9693461209356807,0.9741579842510334,3.4708794826978133,3.065387906431931,0,0.0,0.0,0.0,0.0,3e-05,0.9546827455851316,531.7825726919782,11202.877427308022,0.0,0.01466337535054918,-172.06972419107296,172.06972419107296,0.0
Scenario Alpha,Case B - CMM + CUM,Triangular,Global Gaussian copula,0.75,HVAC,100000,1026.73344657341,1159.42,1026.7864480480139,32.861874858583406,1081.3536765846802,1097.98019749097,1117.8671587796548,78.06632341531986,61.43980250902996,0.9326677792212315,0.9470081570880009,0.9641606654876186,6.733222077876857,5.299184291199906,0,0.0,0.0,0.0,0.0,3e-05,0.8954898581065659,121.17114871408536,1038.2488512859147,0.0,0.05151829898143501,-59.7313462050554,59.73134620505539,0.0
Scenario Alpha,Case B - CMM + CUM,Triangular,Subsystem-block Gaussian copula,0.25,CW,100000,3814.61147772621,4068.06,3814.7228834333037,41.153512068234754,3882.4388652095818,3908.8203150871864,3976.3751296867113,185.62113479041818,159.23968491281357,0.9543710921691376,0.9608561120256797,0.9774622620331832,4.562890783086242,3.9143887974320335,0,0.0,0.0,0.0,0.0,3e-05,0.9451982829716772,222.93667297423823,3845.1233270257617,0.0,0.01565782905400248,-63.69698806142466,63.69698806142469,0.0
Scenario Alpha,Case B - CMM + CUM,Triangular,Subsystem-block Gaussian copula,0.25,FW,100000,11172.36557800847,11734.66,11172.476983715564,41.153512068234754,11240.19296549184,11266.574415369445,11334.12922996897,494.4670345081595,468.0855846305549,0.9578626875846288,0.9601108524123788,0.9658677141024087,4.2137312415371175,3.9889147587621188,0,0.0,0.0,0.0,0.0,3e-05,0.9546827455851316,531.7825726919782,11202.877427308022,0.0,0.005428106827247259,-63.696988061423326,63.696988061423326,0.0
Scenario Alpha,Case B - CMM + CUM,Triangular,Subsystem-block Gaussian copula,0.25,HVAC,100000,1026.73344657341,1159.42,1026.7267791093536,19.39038944130645,1058.7586588051954,1070.9684821751475,1101.680697917397,100.66134119480466,88.45151782485254,0.9131795715143739,0.9237105468037013,0.9501998395037148,8.682042848562615,7.628945319629861,0,0.0,0.0,0.0,0.0,3e-05,0.8954898581065659,121.17114871408536,1038.2488512859147,0.0,0.028220688697135454,-32.71963088923282,32.7196308892328,0.0
Scenario Alpha,Case B - CMM + CUM,Triangular,Subsystem-block Gaussian copula,0.5,CW,100000,3814.61147772621,4068.06,3814.461460005868,56.86700647012592,3908.2224316041725,3942.65580775946,4017.7049266673366,159.83756839582747,125.40419224053994,0.9607091418524242,0.9691734654256476,0.9876218459578612,3.9290858147575864,3.082653457435238,0,0.0,0.0,0.0,0.0,3e-05,0.9451982829716772,222.93667297423823,3845.1233270257617,0.0,0.023975182453970456,-97.53248073369829,97.53248073369832,0.0
